date,open,high,low,close,volume
2024-01-01,169.09,172.17,168.91,172.08,9977424.0
2024-01-02,171.86,172.04,170.37,171.33,9852335.0
2024-01-03,170.64,173.35,170.54,171.41,11972545.0
2024-01-04,171.47,173.38,171.47,172.27,10066029.0
2024-01-08,171.62,171.79,170.095,170.66,9923630.0
2024-01-09,170.0,171.08,168.95,171.02,9670218.0
2024-01-10,170.33,170.36,168.6401,170.3,11818248.0
2024-01-11,173.8,176.31,168.9,169.05,19436504.0
2024-01-15,164.87,168.09,164.3,167.99,17206420.0
2024-01-16,167.34,169.07,166.49,167.09,11107466.0
2024-01-17,167.12,167.53,165.24,167.42,9322255.0
2024-01-18,167.55,170.57,167.08,170.31,13115664.0
2024-01-22,169.67,169.75,168.44,168.99,8348929.0
2024-01-23,169.36,171.01,168.8627,170.5,9966060.0
2024-01-24,172.31,172.99,170.905,172.94,8873481.0
2024-01-25,172.61,173.06,171.78,172.28,7442955.0
2024-01-29,172.83,176.7603,172.83,176.27,10822075.0
2024-01-30,176.2,178.3,174.34,174.36,11503320.0
2024-01-31,173.64,174.84,171.43,173.73,9340048.0
2024-02-01,173.3,175.8162,173.26,174.73,8607839.0
2024-02-05,174.61,175.87,173.76,175.1,6737414.0
2024-02-06,175.69,175.87,173.96,175.43,7225478.0
2024-02-07,175.0,175.3058,173.57,174.8,6043485.0
2024-02-08,175.0,175.1,173.6731,175.01,6296729.0
2024-02-12,175.32,176.2299,172.615,174.26,8397631.0
2024-02-13,175.07,176.1,174.42,176.03,7056664.0
2024-02-14,176.15,180.21,176.15,179.87,8723390.0
2024-02-15,179.61,179.98,178.16,179.03,8010147.0
2024-02-19,179.19,180.46,178.405,179.73,9665709.0
2024-02-20,179.95,180.99,178.52,180.9,7027857.0
2024-02-21,181.82,183.42,181.24,183.07,9296459.0
2024-02-22,183.81,185.2,183.19,183.99,7105833.0
2024-02-26,183.31,183.54,182.24,183.45,5662565.0
2024-02-27,183.43,185.2,182.96,184.38,6131608.0
2024-02-28,185.66,186.43,183.85,186.06,9643012.0
2024-02-29,185.7,186.44,185.1,185.29,6311996.0
2024-03-04,186.36,189.3,186.36,188.55,6617832.0
2024-03-05,189.25,190.07,187.63,189.53,7572891.0
2024-03-06,189.91,190.5,186.63,187.87,7618277.0
2024-03-07,188.44,190.455,187.92,188.22,6172199.0
2024-03-11,188.95,190.16,187.91,189.84,5708384.0
2024-03-12,190.36,191.73,189.84,191.38,7795535.0
2024-03-13,191.03,191.63,187.103,187.97,10310948.0
2024-03-14,186.48,190.94,186.48,190.3,17214229.0
2024-03-18,192.71,193.93,192.38,193.79,8475517.0
2024-03-19,194.19,196.56,193.61,196.33,9367043.0
2024-03-20,196.52,199.43,196.33,199.06,11203796.0
2024-03-21,199.01,200.48,196.54,196.62,8108840.0
2024-03-25,194.59,196.66,194.0554,195.73,5961484.0
2024-03-26,196.5,199.6,196.38,199.52,8725757.0
2024-03-27,199.49,200.72,198.54,200.3,8628313.0
2024-04-01,198.39,199.78,198.08,198.86,7014683.0
2024-04-02,199.04,199.56,197.7,198.3,9353426.0
2024-04-03,199.15,199.68,195.55,195.65,9243793.0
2024-04-04,196.16,198.1224,195.11,197.45,6532278.0
2024-04-08,198.07,198.88,194.91,197.15,7334031.0
2024-04-09,195.55,197.07,194.18,195.47,7681377.0
2024-04-10,196.0,196.57,193.24,195.43,10133789.0
2024-04-11,188.32,188.93,182.54,182.79,31532308.0
2024-04-15,182.9,183.16,179.65,180.8,16391601.0
2024-04-16,181.37,182.4199,179.2,180.08,9017093.0
2024-04-17,181.1,183.36,179.97,181.25,9552470.0
2024-04-18,182.4,185.88,181.41,185.8,13402313.0
2024-04-22,191.13,192.225,190.52,192.14,9144372.0
2024-04-23,190.53,193.23,190.17,193.08,6954655.0
2024-04-24,192.25,193.935,191.18,193.37,9757265.0
2024-04-25,193.57,194.87,193.06,193.49,6364055.0
2024-04-29,192.81,194.99,191.64,191.74,8153681.0
2024-04-30,192.27,194.46,190.79,191.86,7446703.0
2024-05-01,193.07,193.5,189.52,191.66,6501657.0
2024-05-02,192.0,192.529,188.46,190.51,8911525.0
2024-05-06,191.7,192.93,191.65,191.75,7688771.0
2024-05-07,191.0,196.65,191.0,195.65,9227561.0
2024-05-08,195.17,197.59,195.1,197.5,7977291.0
